"id","table_no","template_id","row_no","water_material","add_fee","line_item","group_text","start_position","end_position","field_data","coordinates","ocr_selected_text"
40,1,85,1,0,0,0,0,0,0,"$6,809.67 && April 20, 2024","5.3183|2.4791|1.3030|-0.2484 && 6.6213|2.4791|1.3688|-0.2484",""
41,2,85,1,0,0,0,0,0,0,"Payment - Thank You 03/20 1 && -$6,325.05","1.9296|3.1413|4.5135|-0.1897 && 6.4431|3.1413|1.6476|-0.1897",""
42,3,85,1,2776,0,1,1,55,97,"Noosa Yoghurt Llc 4120 N County Road 25 E Bellvue, CO 2 Waste Container 30 Cu Yd, On Call Service","1.9665|3.6707|2.7566|-0.4425",""
43,3,85,2,2776,0,1,0,1,14,"Pickup Service 03/01 Receipt Number 68612 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|4.1132|2.7629|-0.2592 && 4.7231|4.1132|0.9547|-0.2592 && 5.6778|4.1132|0.9231|-0.2592 && 6.6009|4.1069|0.8535|-0.2592 && 7.4544|4.1069|0.6386|-0.2528",""
44,3,85,3,0,0,0,0,0,0,"Pickup Service 03/04 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|4.3724|2.7629|-0.1327 && 4.7231|4.3724|0.9547|-0.1327 && 5.6778|4.3724|0.9231|-0.1327 && 6.6009|4.3724|0.8599|-0.1327 && 7.4608|4.3661|0.6322|-0.1327",""
45,3,85,4,0,0,0,0,0,0,"Receipt Number 85267","1.9602|4.5051|2.7629|-0.1265",""
46,3,85,5,0,0,0,0,0,0,"Pickup Service 03/06 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|4.6316|2.7629|-0.1390 && 4.7231|4.6316|0.9610|-0.1390 && 5.6841|4.6316|0.9168|-0.1390 && 6.6009|4.6316|0.8599|-0.1390 && 7.4608|4.6316|0.6322|-0.1390",""
47,3,85,6,0,0,0,0,0,0,"Receipt Number 85268","1.9602|4.7706|2.7629|-0.1201",""
48,3,85,7,0,0,0,0,0,0,"Pickup Service 03/08 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|4.897|2.7629|-0.1328 && 4.7231|4.8907|0.9610|-0.1391 && 5.6841|4.8907|0.9168|-0.1391 && 6.6009|4.8907|0.8599|-0.1391 && 7.4608|4.8907|0.6322|-0.1391",""
49,3,85,8,0,0,0,0,0,0,"Receipt Number 85269","1.9602|5.0298|2.7629|-0.1201",""
50,3,85,9,0,0,0,0,0,0,"Pickup Service 03/11 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|5.1562|2.7629|-0.1327 && 4.7231|5.1499|0.9610|-0.1390 && 5.6841|5.1499|0.9168|-0.1390 && 6.6009|5.1562|0.8599|-0.1327 && 7.4608|5.1499|0.6322|-0.1390",""
51,3,85,10,0,0,0,0,0,0,"Receipt Number 85270","1.9602|5.2889|2.7629|-0.1265",""
52,3,85,11,0,0,0,0,0,0,"Pickup Service 03/13 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|5.4154|2.7629|-0.1327 && 4.7231|5.4154|0.9610|-0.1327 && 5.6841|5.4154|0.9168|-0.1327 && 6.6009|5.4154|0.8599|-0.1390 && 7.4608|5.4154|0.6322|-0.1390",""
53,3,85,12,0,0,0,0,0,0,"Receipt Number 85271","1.9602|5.5481|2.7629|-0.1264",""
54,3,85,13,0,0,0,0,0,0,"Pickup Service 03/15 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|5.6745|2.7629|-0.1328 && 4.7231|5.6745|0.9610|-0.1328 && 5.6841|5.6745|0.9231|-0.1328 && 6.6072|5.6745|0.8536|-0.1328 && 7.4608|5.6745|0.6322|-0.1328",""
55,3,85,14,0,0,0,0,0,0,"Receipt Number 85273","1.9602|5.8073|2.7629|-0.1264",""
56,3,85,15,0,0,0,0,0,0,"Pickup Service 03/18 && Dispatch && 1.0000 && $449.65 && $449.65","1.9602|5.9337|2.7629|-0.1327 && 4.7231|5.9337|0.9610|-0.1327 && 5.6841|5.9337|0.9231|-0.1327 && 6.6072|5.9337|0.8536|-0.1327 && 7.4608|5.9337|0.6322|-0.1327",""
57,3,85,16,0,0,0,0,0,0,"Receipt Number 85274","1.9602|6.0664|2.7629|-0.1201",""
58,3,85,17,0,0,0,0,0,0,"Pickup Service 03/20 && Dispatch && 1.0000 && $449.65 && $449.65","1.9539|6.1802|2.7692|-0.1454 && 4.7231|6.1865|0.9610|-0.1391 && 5.6841|6.1865|0.9231|-0.1391 && 6.6072|6.1865|0.8536|-0.1391 && 7.4608|6.1865|0.6385|-0.1391",""
59,3,85,18,0,0,0,0,0,0,"Receipt Number 85275","1.9539|6.3256|2.7692|-0.1201",""
60,3,85,19,0,0,0,0,0,0,"Pickup Service 03/22 && Dispatch && 1.0000 && $449.65 && $449.65","1.9539|6.452|2.7692|-0.1328 && 4.7231|6.4457|0.9610|-0.1391 && 5.6841|6.4457|0.9231|-0.1391 && 6.6072|6.4457|0.8536|-0.1391 && 7.4608|6.4457|0.6385|-0.1391",""
61,3,85,20,0,0,0,0,0,0,"Receipt Number 85277","1.9539|6.5848|2.7692|-0.1264",""
62,3,85,21,0,0,0,0,0,0,"Pickup Service 03/25 Receipt Number 85278 && Dispatch && 1.0000 && $449.65 && $449.65","1.9539|6.7112|2.7692|-0.2528 && 4.7231|6.7112|0.9610|-0.2528 && 5.6841|6.7049|0.9231|-0.1390 && 6.6072|6.7049|0.8536|-0.1390 && 7.4608|6.7049|0.6385|-0.1390",""
63,3,85,22,0,0,0,0,0,0,"Pickup Service 03/27 && Dispatch && 1.0000 && $449.65 && $449.65","1.9539|6.9704|2.7692|-0.1327 && 4.7231|6.964|0.9610|-0.1391 && 5.6841|6.964|0.9231|-0.1391 && 6.6072|6.964|0.8536|-0.1391 && 7.4608|6.964|0.6385|-0.1391",""
64,3,85,23,0,0,0,0,0,0,"Receipt Number 85281","1.9539|7.1094|2.7692|-0.1201",""
65,3,85,24,0,9,1,0,1,19,"Misc/Other Service 03/01-03/31 && $25.00 && $25.00","1.9539|7.2295|2.7692|-0.1391 && 6.6072|7.2295|0.8536|-0.1328 && 7.4608|7.2295|0.6385|-0.1328",""
66,3,85,25,2775,0,1,1,1,43,"1 Waste Compactor 40 Cu Yd, On Call Service","1.9539|7.3686|2.7692|-0.1327",""
67,3,85,26,2775,0,1,0,1,14,"Pickup Service 03/13 && Dispatch && 1.0000 && $555.45 && $555.45","1.9539|7.5013|2.7692|-0.1834 && 4.7231|7.5013|0.9610|-0.1834 && 5.6841|7.5013|0.9231|-0.1834 && 6.6072|7.495|0.8536|-0.1960 && 7.4608|7.495|0.6385|-0.1960",""
68,4,85,1,0,0,0,0,0,0,"Payment Due Date && April 20, 2024","5.0597|8.4562|1.4855|-0.1623 && 6.5452|8.4562|1.3435|-0.1623",""
69,4,85,2,0,0,0,0,0,0,"Account Number && 3-0642-2493360","5.0597|8.6185|1.4855|-0.1723 && 6.5452|8.6185|1.3435|-0.1723",""
70,4,85,3,0,0,0,0,0,0,"Invoice Number && 0642-000884048","5.0597|8.7959|1.4855|-0.1572 && 6.5452|8.7908|1.3435|-0.1623",""
71,5,85,1,0,0,0,0,0,0,"City && State Zip Code","0.5425|9.5057|2.6819|-0.3650 && 3.2244|9.5057|1.9266|-0.3650",""
72,5,85,2,0,0,0,0,0,0,"Phone && Alternate Phone","0.5425|9.8707|2.6819|-0.3853 && 3.2244|9.8707|1.9266|-0.3903",""
73,6,85,1,0,0,0,0,0,0,"Receipt Number 93189","1.9272|2.5773|2.3880|-0.1266",""
74,6,85,2,0,2,1,0,1,6,"Rental 03/01-03/31 && $460.00 && $460.00","1.9272|2.7039|2.3880|-0.1581 && 6.6021|2.7039|0.8087|-0.1581 && 7.4108|2.7039|0.6760|-0.1581",""
75,6,85,3,0,9,1,0,1,25,"Total Co State Surcharges && $356.40","1.9208|2.862|2.3944|-0.1898 && 7.4108|2.862|0.6760|-0.1898",""
76,6,85,4,0,11,1,0,1,22,"Total County Sales Tax && $3.68","1.9208|3.0518|2.3944|-0.1899 && 7.4108|3.0518|0.6760|-0.1899",""
77,6,85,5,0,11,1,0,1,21,"Total State Sales Tax && $13.34","1.9208|3.2417|2.3944|-0.1898 && 7.4108|3.2417|0.6760|-0.1898",""
78,6,85,6,0,0,0,0,0,0,"CURRENT INVOICE CHARGES && $6,809.67","1.9208|3.4315|2.3944|-0.2151 && 7.4108|3.4315|0.6760|-0.2214",""
79,1,86,1,0,0,0,0,0,0,"$8,765.33 && October 20, 2023","5.4916|2.0434|1.3084|-0.2483 && 6.8|2.0434|1.4039|-0.2483",""
80,2,86,1,4066,0,1,1,81,119,"Wells Enterprises Comp 4277 1001 Olsen St Henderson, NV Contract: 9620003 (C13) 1 Roll Off Comp 36 Yd, 3 Lifts Per Week","1.9792|3.2613|2.8347|-0.4548",""
81,2,86,2,4066,0,1,0,1,14,"Pickup Service 10/01-10/31 && $7,892.49 && $7,892.49","1.9727|3.7161|2.8412|-0.1364 && 6.7794|3.7161|0.8303|-0.1429 && 7.6097|3.7161|0.7006|-0.1429",""
82,2,86,3,0,2,1,0,1,6,"Rental 10/01-10/31 && 1.0000 && $455.45 && $455.45","1.9727|3.8525|2.8412|-0.1559 && 5.8388|3.8525|0.9406|-0.1559 && 6.7794|3.859|0.8303|-0.1494 && 7.6097|3.859|0.7006|-0.1559",""
83,2,86,4,0,4,1,0,1,36,"Total Henderson Environmental Surchg && $417.39","1.9727|4.0084|2.8412|-0.1949 && 7.6162|4.0084|0.6941|-0.1949",""
84,2,86,5,0,0,0,0,0,0,"CURRENT INVOICE CHARGES && $8,765.33","1.9727|4.1903|2.8412|-0.2144 && 7.6162|4.2033|0.6941|-0.2014",""
85,3,86,1,0,0,0,0,0,0,"Payment Due Date && October 20, 2023","5.2003|8.1927|1.4994|-0.1623 && 6.6997|8.1927|1.4087|-0.1623",""
86,3,86,2,0,0,0,0,0,0,"Account Number && 3-0620-1091790","5.2003|8.355|1.4994|-0.1719 && 6.6997|8.355|1.4087|-0.1719",""
87,3,86,3,0,0,0,0,0,0,"Invoice Number && 0620-042314857","5.2003|8.5269|1.4994|-0.1671 && 6.6997|8.5269|1.4087|-0.1671",""
88,4,86,1,0,0,0,0,0,0,"City && State && Zip Code","0.5564|9.2641|2.7559|-0.3810 && 3.3123|9.2641|0.6680|-0.3810 && 3.9803|9.2641|1.3112|-0.3810",""
89,4,86,2,0,0,0,0,0,0,"Phone && Alternate Phone","0.5564|9.6451|2.7559|-0.3908 && 3.3123|9.6451|1.9792|-0.3957",""
90,1,87,1,5504,0,1,0,1,3,"02/05/2024 && 1175597 && 12581879 && OCC && 4.920 ST && -25.00/ST && -123.00 USD","0.3672|4.3559|0.8630|-0.2276 && 1.2302|4.3638|0.7453|-0.2197 && 1.9755|4.3638|0.8866|-0.2197 && 2.8621|4.3638|2.2753|-0.2276 && 5.1374|4.3638|0.9179|-0.2197 && 6.0553|4.3638|1.0199|-0.2197 && 7.0752|4.3638|0.9572|-0.2197",""
91,1,88,1,5504,0,1,0,1,3,"02/05/2024 && 1175597 && 12581879 && OCC && 4.920 ST && -25.00/ST && -123.00 USD","0.3672|4.3559|0.8630|-0.2276 && 1.2302|4.3638|0.7453|-0.2197 && 1.9755|4.3638|0.8866|-0.2197 && 2.8621|4.3638|2.2753|-0.2276 && 5.1374|4.3638|0.9179|-0.2197 && 6.0553|4.3638|1.0199|-0.2197 && 7.0752|4.3638|0.9572|-0.2197",""
92,1,88,2,5503,0,1,0,1,6,"02/05/2024 && 1175597 && 12581879 && LDPE A && 0.335 ST && -140.00/ST && -46.90 USD","0.3672|4.5835|0.8630|-0.2826 && 1.2302|4.5835|0.7453|-0.2826 && 1.9755|4.5835|0.8866|-0.2904 && 2.8621|4.5835|2.2753|-0.2904 && 5.1374|4.5914|0.9179|-0.2825 && 6.0553|4.5835|1.0199|-0.2826 && 7.0752|4.5835|0.9572|-0.2826",""
93,1,88,3,0,9,1,0,1,33,"02/05/2024 && 1175597 && 12581879 && Light Load Chargeback - Brokerage && 1 LBS && 500.00/LBS && 500.00 USD","0.3672|4.8739|0.8630|-0.2669 && 1.2302|4.8661|0.7453|-0.2747 && 1.9755|4.8661|0.8866|-0.2747 && 2.8621|4.8739|2.2753|-0.2669 && 5.1374|4.8739|0.9179|-0.2669 && 6.0553|4.8739|1.0199|-0.2669 && 7.0752|4.8661|0.9572|-0.2747",""
94,1,88,4,0,0,0,0,0,0,"02/05/2024 && 1175680 && 12581880 && LDPE A && 0.445 ST && -140.00/ST && -62.30 USD","0.3672|5.1408|0.8630|-0.2825 && 1.2302|5.1408|0.7453|-0.2825 && 1.9755|5.1408|0.8866|-0.2825 && 2.8621|5.1408|2.2753|-0.2825 && 5.1374|5.1408|0.9179|-0.2825 && 6.0553|5.1408|1.0199|-0.2825 && 7.0752|5.1408|0.9572|-0.2825",""
95,1,88,5,0,0,0,0,0,0,"02/05/2024 && 1175680 && 12581880 && OCC && 3.110 ST && -25.00/ST && -77.75 USD","0.3672|5.4233|0.8630|-0.2747 && 1.2302|5.4233|0.7453|-0.2747 && 1.9755|5.4233|0.8866|-0.2747 && 2.8621|5.4233|2.2753|-0.2747 && 5.1374|5.4233|0.9179|-0.2747 && 6.0553|5.4233|1.0199|-0.2747 && 7.0752|5.4233|0.9572|-0.2747",""
96,1,88,6,6842,0,1,0,1,10,"02/05/2024 && 1175680 && 12581880 && OCC REBALE && 1.858 ST && 0.00/ST && 0.00 USD","0.3672|5.698|0.8630|-0.2747 && 1.2302|5.698|0.7532|-0.2825 && 1.9834|5.698|0.8787|-0.2747 && 2.8621|5.698|2.2753|-0.2747 && 5.1374|5.698|0.9258|-0.2747 && 6.0632|5.698|1.0120|-0.2747 && 7.0752|5.698|0.9572|-0.2747",""
97,1,88,7,0,0,0,0,0,0,"02/05/2024 && 1175680 && 12581880 && Light Load Chargeback - Brokerage && 1 LBS && 500.00/LBS && 500.00 USD","0.3672|5.9805|0.8630|-0.2747 && 1.2302|5.9727|0.7532|-0.2825 && 1.9834|5.9805|0.8787|-0.2747 && 2.8621|5.9727|2.2753|-0.2825 && 5.1374|5.9727|0.9258|-0.2825 && 6.0632|5.9727|1.0120|-0.2747 && 7.0752|5.9727|0.9572|-0.2747",""
98,1,88,8,0,0,0,0,0,0,"02/07/2024 && 1176412 && 12581903 && OCC && 4.857 ST && -25.00/ST && -121.43 USD","0.3672|6.2552|0.8630|-0.2747 && 1.2302|6.2552|0.7532|-0.2747 && 1.9834|6.2552|0.8787|-0.2747 && 2.8621|6.2552|2.2753|-0.2747 && 5.1374|6.2552|0.9258|-0.2747 && 6.0632|6.2552|1.0120|-0.2747 && 7.0752|6.2474|0.9572|-0.2825",""
99,1,88,9,0,0,0,0,0,0,"02/07/2024 && 1176412 && 12581903 && OCC REBALE && 0.645 ST && 0.00/ST && 0.00 USD","0.3672|6.5299|0.8630|-0.2747 && 1.2302|6.5299|0.7532|-0.2747 && 1.9834|6.5299|0.8787|-0.2747 && 2.8621|6.5299|2.2753|-0.2747 && 5.1374|6.5299|0.9258|-0.2747 && 6.0632|6.5299|1.0120|-0.2747 && 7.0752|6.5299|0.9572|-0.2747",""
100,1,88,10,0,0,0,0,0,0,"02/07/2024 && 1176412 && 12581903 && Light Load Chargeback - Brokerage && 1 LBS && 500.00/LBS && 500.00 USD","0.3672|6.8046|0.8630|-0.2825 && 1.2302|6.8046|0.7532|-0.2825 && 1.9834|6.8046|0.8787|-0.2825 && 2.8621|6.8046|2.2753|-0.2825 && 5.1374|6.8046|0.9258|-0.2825 && 6.0632|6.8046|1.0120|-0.2825 && 7.0752|6.8046|0.9572|-0.2825",""
101,1,88,11,6841,0,1,0,1,11,"02/07/2024 && 1176413 && 12581904 && FIBER CORES && 1.493 ST && 0.00/ST && 0.00 USD","0.3672|7.0871|0.8630|-0.2825 && 1.2302|7.0871|0.7532|-0.2825 && 1.9834|7.0871|0.8787|-0.2825 && 2.8621|7.0871|2.2753|-0.2747 && 5.1374|7.0871|0.9258|-0.2747 && 6.0632|7.0871|1.0120|-0.2747 && 7.0752|7.0871|0.9572|-0.2747",""
102,1,88,12,0,0,0,0,0,0,"02/07/2024 && 1176413 && 12581904 && OCC && 8.153 ST && -25.00/ST && -203.83 USD","0.3672|7.3696|0.8630|-0.2747 && 1.2302|7.3696|0.7532|-0.2747 && 1.9834|7.3696|0.8787|-0.2747 && 2.8621|7.3696|2.2753|-0.2747 && 5.1374|7.3618|0.9258|-0.2825 && 6.0632|7.3618|1.0120|-0.2825 && 7.0752|7.3618|0.9572|-0.2668",""
103,1,88,13,0,0,0,0,0,0,"02/09/2024 && 1177298 && 12581967 && OCC && 10.000 ST && 0.00/ST && 0.00 USD","0.3672|7.6443|0.8630|-0.2669 && 1.2302|7.6443|0.7532|-0.2669 && 1.9834|7.6443|0.8787|-0.2669 && 2.8621|7.6443|2.2753|-0.2669 && 5.1374|7.6443|0.9258|-0.2669 && 6.0632|7.6443|1.0120|-0.2669 && 7.0752|7.6443|0.9572|-0.2590",""
104,1,88,14,0,0,0,0,0,0,"02/09/2024 && 1177298 && 12581967 && Light Load Chargeback - Brokerage && 1.000 EA && 250.00/EA && 250.00 USD","0.3672|7.9112|0.8630|-0.2903 && 1.2302|7.9112|0.7532|-0.2903 && 1.9834|7.9112|0.8787|-0.2903 && 2.8621|7.9112|2.2753|-0.2903 && 5.1374|7.9112|0.9258|-0.2903 && 6.0632|7.9112|1.0120|-0.2903 && 7.0752|7.9112|0.9572|-0.2747",""
